Model_Name,Model,Model_Params,Testing_Iteration,Accuracy_Score,F1_Score,Recall_Score,Precision_Score,ROC_AUC_Score
rand_forest_clf,RandomForestClassifier(),"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",1,0.872093023255814,0.8791208791208791,0.9195402298850575,0.8421052631578947,0.925287356321839
ridge_clf,RidgeClassifier(),"{'alpha': 1.0, 'class_weight': None, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",1,0.8604651162790697,0.8666666666666667,0.896551724137931,0.8387096774193549,
linear_discriminant,LinearDiscriminantAnalysis(),"{'covariance_estimator': None, 'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'svd', 'store_covariance': False, 'tol': 0.0001}",1,0.8604651162790697,0.8666666666666667,0.896551724137931,0.8387096774193549,0.9226504394861393
linear_svc,LinearSVC(max_iter=10000),"{'C': 1.0, 'class_weight': None, 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 10000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",1,0.8546511627906976,0.861878453038674,0.896551724137931,0.8297872340425532,
hist_boost_clf,HistGradientBoostingClassifier(),"{'categorical_features': 'warn', 'class_weight': None, 'early_stopping': 'auto', 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",1,0.8488372093023255,0.8539325842696629,0.8735632183908046,0.8351648351648352,0.908451656524679
logistic_regression_clf,LogisticRegression(max_iter=10000),"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 10000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1,0.8430232558139535,0.8524590163934426,0.896551724137931,0.8125,0.9176470588235295
extra_trees_clf,ExtraTreesClassifier(),"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",2,0.8372093023255814,0.8494623655913979,0.9080459770114943,0.797979797979798,0.9058823529411764
quadratic_discriminant,QuadraticDiscriminantAnalysis(),"{'priors': None, 'reg_param': 0.0, 'store_covariance': False, 'tol': 0.0001}",1,0.8372093023255814,0.8409090909090909,0.8505747126436781,0.8314606741573034,0.899391480730223
k_neighbours_clf,KNeighborsClassifier(),"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",1,0.8313953488372093,0.8379888268156425,0.8620689655172413,0.8152173913043478,0.8835023664638268
sgd_clf,SGDClassifier(max_iter=10000),"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'hinge', 'max_iter': 10000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",2,0.813953488372093,0.8350515463917526,0.9310344827586207,0.7570093457943925,
