date,gold_spot,silver_spot,total_gold_ozs_sold,total_silver_ozs_sold,total_revenue (USD)
2025-02-07,2861.765,31.825,542.8,3912,1727745
2025-02-06,2861.62,32.2269,523.6,5572.2,1722471
2025-02-05,2860.205,32.226,379.1,4575,1272790
2025-02-04,2859.9,32.269,863.9,5508.2,2697410
2025-02-03,2814.63,31.5009,949.2,17393.2,3329756
2025-02-02,2788.1,31.134,232,2300,740812
2025-02-01,2799.53,31.334,15.8,147.2,50953
2025-01-31,2799.06,31.3969,371.7,3775,1193585
2025-01-30,2793.565,31.442,519.3,6368.2,1701838
2025-01-29,2766.46,30.922,461.4,5547,1482840
2025-01-28,2759.825,30.3756,307.7,3300,977335
2025-01-27,2740.485,29.9978,296.1,6023,1022602
2025-01-25,2772.02,30.6041,8.3,125,27629
2025-01-24,2772.02,30.6041,312.3,4401,1035958
2025-01-23,2774.7,30.8274,343,3531,1082053
2025-01-22,2754.325,30.6623,400.7,2775,1220470
2025-01-21,2747.805,30.8444,238.3,3257,778421
2025-01-20,2724.99,30.573,436.9,7630,1462184
2025-01-18,2703.88,30.371,15,19,42632
2025-01-17,2703.88,30.371,201.6,2163,631511
2025-01-16,2713.945,30.6828,368.3,4490,1175467
2025-01-15,2694.635,30.7562,236.6,2847.2,747049
2025-01-14,2682.23,29.9541,95.5,2120,331993
2025-01-13,2670.215,29.6989,384.9,6494,1259972
2025-01-10,2690.44,30.428,309.1,4780,1010173
2025-01-09,2678.935,30.2806,255.8,3280,807701
2025-01-08,2667.265,30.172,226.5,2085,686016
2025-01-07,2653.115,30.1242,225.1,3470,727523
2025-01-06,2641.2,30.0905,495.5,7325,1574969
2025-01-03,2640.35,29.6325,42.9,2330,193882
2025-01-02,2660.375,29.6235,312.2,3915,975635
2024-12-31,2625.445,28.9145,260.1,3862,822715
2024-12-30,2608.92,28.8665,186.3,4090,628311
2024-12-27,2622.57,29.3961,443.3,7445,1427349
2024-12-26,2635.045,29.8222,42.4,250,124360
2024-12-23,2620.13,29.6938,396.2,9165.8,1355281
2024-12-20,2624.005,29.53,345.7,7370,1169096
2024-12-19,2604.865,29.0761,221,2896.2,678053
2024-12-18,2613.93,29.5857,203.4,2858.1,642233
2024-12-17,2647.535,30.4339,177.9,1763.6,541952
2024-12-16,2649.53,30.4254,224.1,5260.6,787021
2024-12-15,2654.655,30.601,39.7,324.2,120588
2024-12-13,2649.74,30.5734,325.5,5900.3,924634
2024-12-12,2690.32,30.961,103.5,2007.9,355366
2024-12-11,2719.39,32.181,257.1,2305.8,795874
2024-12-10,2697.145,31.8045,188.7,2677.9,613389
2024-12-09,2671.115,31.9345,397.4,5605.2,1276134
2024-12-06,2634.345,30.9814,232.8,1507.2,679980
2024-12-05,2640.43,31.3117,161.8,1629.6,490035
2024-12-04,2647.81,31.2434,165.5,2470,531778
2024-12-03,2649.515,31.0335,101.4,6596.8,500560
2024-12-02,2647.475,30.8942,151,2511.8,492754
2024-12-01,2626.95,30.1999,0,111,3679
2024-11-30,2651.44,30.6216,16.4,41,46355
2024-11-29,2651.44,30.6216,273.6,2546.5,829978
2024-11-28,2666.135,30.7131,46.6,1680.8,181549
2024-11-27,2637.48,29.8915,134.3,1460,411967
2024-11-26,2649.075,30.6599,202.3,1175,582733
2024-11-25,2622.89,30.2582,608,10651.2,1985126
2024-11-22,2717.075,31.356,358.5,4927.2,1164700
2024-11-21,2694.05,31.0934,179.8,1726.5,549180
2024-11-20,2662.39,31.2524,227.1,3579,735064
2024-11-19,2630.17,31.0336,475.1,2613.8,1368601
2024-11-18,2626.01,31.3106,376.4,8112,1283381
2024-11-17,2586.685,30.6559,17,55,46671
2024-11-16,2564.155,30.2575,26.3,37,70533
2024-11-15,2564.155,30.2575,215.1,2925.3,667975
2024-11-14,2562.26,30.3422,146.3,3230,494113
2024-11-13,2555.325,29.8942,76.6,2225,280168
2024-11-12,2606.125,30.8568,56,2206.5,221943
2024-11-11,2608.9,30.3749,126.8,6750,565713
2024-11-08,2685.33,31.3136,494.4,4536.3,1514335
2024-11-07,2686.925,31.5445,549.7,10117.1,1872046
2024-11-06,2657.715,31.1036,237.2,2655.2,740068
2024-11-05,2708.395,31.613,661.3,9767.6,2200888
2024-11-04,2738.405,32.5285,1265,20216.7,4243006
2024-11-03,2741.555,32.815,70.4,896.1,222616
2024-11-01,2737.43,32.4565,55,6071.9,397567
2024-10-31,2755.605,32.8209,605.3,5193.6,1872672
2024-10-30,2786.17,33.7101,1566.2,7178.1,4724057
2024-10-29,2783.785,34.2305,817,6839.4,2593928
2024-10-28,2751.64,33.8009,480.4,8635.8,1664225
2024-10-25,2749.19,33.7168,1809.4,23940.8,5958254
2024-10-24,2730.315,33.5511,990,9177.1,3106962
2024-10-23,2730.72,33.9509,483.9,6270,1575379
2024-10-22,2752.75,34.7348,1139.6,10289,3575665
