date,gold_spot,silver_spot,total_gold_ozs_sold,total_silver_ozs_sold,gold_spot_percent_change,silver_spot_percent_change,weekday,is_weekend
2025-02-07,2861.765,31.825,542.8,3912.0,0.005067059917118755,-1.247094818303962,4,0
2025-02-06,2861.62,32.2269,523.6,5572.2,0.04947197840714512,0.002792776019377996,3,0
2025-02-05,2860.205,32.226,379.1,4575.0,0.010664708556240576,-0.1332548266137712,2,0
2025-02-04,2859.9,32.269,863.9,5508.2,1.6083819187601822,2.438343031468926,1,0
2025-02-03,2814.63,31.5009,949.2,17393.2,0.951544062264631,1.1784544228174987,0,0
2025-02-02,2788.1,31.134,232.0,2300.0,-0.40828281890175067,-0.6382842918235765,6,1
2025-02-01,2799.53,31.334,15.8,147.2,0.01679135138226151,-0.20033824995461247,5,1
2025-01-31,2799.06,31.3969,371.7,3775.0,0.19670206349233776,-0.14343871255009244,4,0
2025-01-30,2793.565,31.442,519.3,6368.2,0.9797719829673923,1.681650604747431,3,0
2025-01-29,2766.46,30.922,461.4,5547.0,0.24041379435291166,1.798812204532596,2,0
2025-01-28,2759.825,30.3756,307.7,3300.0,0.7057144994407905,1.259425691217353,1,0
2025-01-27,2740.485,29.9978,296.1,6023.0,-1.1376180547037817,-1.9811071065641395,0,0
2025-01-25,2772.02,30.6041,8.3,125.0,0.0,0.0,5,1
2025-01-24,2772.02,30.6041,312.3,4401.0,-0.09658701841639417,-0.7243556057273781,4,0
2025-01-23,2774.7,30.8274,343.0,3531.0,0.7397456727147311,0.5384462352791664,3,0
2025-01-22,2754.325,30.6623,400.7,2775.0,0.23728030191370042,-0.5903826950759306,2,0
2025-01-21,2747.805,30.8444,238.3,3257.0,0.8372507789019323,0.8877113793216207,1,0
2025-01-20,2724.99,30.573,436.9,7630.0,0.7807299140494273,0.6651081623917587,0,0
2025-01-18,2703.88,30.371,15.0,19.0,0.0,0.0,5,1
2025-01-17,2703.88,30.371,201.6,2163.0,-0.37086234245720107,-1.0162045184924473,4,0
2025-01-16,2713.945,30.6828,368.3,4490.0,0.7166091140358599,-0.23865106872760222,3,0
